review_id,review,rating,date,bank,source,sentiment_label,sentiment_score,identified_theme
1,Failed transfers. System says network error but my balance was deducted.,1,2026-04-10,Dashen,Google Play (Simulated),negative,-0.4588,Transaction Performance
2,"Excellent app! Transfer speed is fantastic, love the security updates.",5,2026-02-21,CBE,Google Play (Simulated),positive,0.9348,Transaction Performance
3,BOA Live is beautiful but it crashes constantly after the latest update.,2,2026-01-08,BOA,Google Play (Simulated),positive,0.3506,UI & User Experience
4,"Very poor customer support, my transaction is pending and chat bot is useless.",1,2026-03-02,BOA,Google Play (Simulated),negative,-0.4989,Transaction Performance
5,BOA Live is beautiful but it crashes constantly after the latest update.,2,2026-02-01,BOA,Google Play (Simulated),positive,0.3506,UI & User Experience
6,"Amole app has a great interface, very clean and navigable navigation.",3,2026-04-19,Dashen,Google Play (Simulated),positive,0.796,UI & User Experience
7,"Excellent app! Transfer speed is fantastic, love the security updates.",5,2026-04-17,CBE,Google Play (Simulated),positive,0.9348,Transaction Performance
8,"Great user interface, clean design, but login error pops up frequently.",4,2026-04-19,CBE,Google Play (Simulated),neutral,-0.0387,Account Access & Security
9,"Excellent app! Transfer speed is fantastic, love the security updates.",4,2026-01-06,CBE,Google Play (Simulated),positive,0.9348,Transaction Performance
10,I did not receive the OTP token. Stuck on login screen for hours.,1,2026-04-20,BOA,Google Play (Simulated),negative,-0.25,Account Access & Security
11,I did not receive the OTP token. Stuck on login screen for hours.,1,2026-04-03,BOA,Google Play (Simulated),negative,-0.25,Account Access & Security
12,I did not receive the OTP token. Stuck on login screen for hours.,1,2026-01-07,BOA,Google Play (Simulated),negative,-0.25,Account Access & Security
13,"Awesome banking experience, fast navigation and secure transfers.",5,2026-01-04,Dashen,Google Play (Simulated),positive,0.7579,Transaction Performance
14,"Awesome banking experience, fast navigation and secure transfers.",5,2026-01-23,Dashen,Google Play (Simulated),positive,0.7579,Transaction Performance
15,Very slow transfer loading times today. App kept crashing during payments.,2,2026-01-23,CBE,Google Play (Simulated),neutral,0.0,Transaction Performance
16,BOA Live is beautiful but it crashes constantly after the latest update.,3,2026-03-08,BOA,Google Play (Simulated),positive,0.3506,UI & User Experience
17,Failed transfers. System says network error but my balance was deducted.,1,2026-02-02,Dashen,Google Play (Simulated),negative,-0.4588,Transaction Performance
18,Very slow transfer loading times today. App kept crashing during payments.,1,2026-02-09,CBE,Google Play (Simulated),neutral,0.0,Transaction Performance
19,"Awesome banking experience, fast navigation and secure transfers.",5,2026-01-26,Dashen,Google Play (Simulated),positive,0.7579,Transaction Performance
20,"Amole app has a great interface, very clean and navigable navigation.",5,2026-05-03,Dashen,Google Play (Simulated),positive,0.796,UI & User Experience
21,"Awesome banking experience, fast navigation and secure transfers.",5,2026-04-02,Dashen,Google Play (Simulated),positive,0.7579,Transaction Performance
22,Very slow transfer loading times today. App kept crashing during payments.,1,2026-01-24,CBE,Google Play (Simulated),neutral,0.0,Transaction Performance
23,I did not receive the OTP token. Stuck on login screen for hours.,1,2026-01-21,BOA,Google Play (Simulated),negative,-0.25,Account Access & Security
24,Please add biometric authentication like fingerprint sign in.,3,2026-03-06,Dashen,Google Play (Simulated),positive,0.5859,Account Access & Security
25,BOA Live is beautiful but it crashes constantly after the latest update.,2,2026-01-01,BOA,Google Play (Simulated),positive,0.3506,UI & User Experience
26,"Excellent app! Transfer speed is fantastic, love the security updates.",5,2026-04-08,CBE,Google Play (Simulated),positive,0.9348,Transaction Performance
27,Failed transfers. System says network error but my balance was deducted.,1,2026-04-10,Dashen,Google Play (Simulated),negative,-0.4588,Transaction Performance
28,BOA Live is beautiful but it crashes constantly after the latest update.,2,2026-03-12,BOA,Google Play (Simulated),positive,0.3506,UI & User Experience
29,I did not receive the OTP token. Stuck on login screen for hours.,1,2026-03-18,BOA,Google Play (Simulated),negative,-0.25,Account Access & Security
30,"Excellent app! Transfer speed is fantastic, love the security updates.",5,2026-01-24,CBE,Google Play (Simulated),positive,0.9348,Transaction Performance
31,Failed transfers. System says network error but my balance was deducted.,2,2026-03-19,Dashen,Google Play (Simulated),negative,-0.4588,Transaction Performance
32,"Very poor customer support, my transaction is pending and chat bot is useless.",2,2026-04-20,BOA,Google Play (Simulated),negative,-0.4989,Transaction Performance
33,"Great user interface, clean design, but login error pops up frequently.",2,2026-01-22,CBE,Google Play (Simulated),neutral,-0.0387,Account Access & Security
34,"Amole app has a great interface, very clean and navigable navigation.",5,2026-03-10,Dashen,Google Play (Simulated),positive,0.796,UI & User Experience
35,Failed transfers. System says network error but my balance was deducted.,2,2026-03-21,Dashen,Google Play (Simulated),negative,-0.4588,Transaction Performance
36,I did not receive the OTP token. Stuck on login screen for hours.,1,2026-01-11,BOA,Google Play (Simulated),negative,-0.25,Account Access & Security
37,"Awesome banking experience, fast navigation and secure transfers.",5,2026-05-02,Dashen,Google Play (Simulated),positive,0.7579,Transaction Performance
38,BOA Live is beautiful but it crashes constantly after the latest update.,2,2026-05-01,BOA,Google Play (Simulated),positive,0.3506,UI & User Experience
39,BOA Live is beautiful but it crashes constantly after the latest update.,3,2026-05-01,BOA,Google Play (Simulated),positive,0.3506,UI & User Experience
40,Very slow transfer loading times today. App kept crashing during payments.,2,2026-02-15,CBE,Google Play (Simulated),neutral,0.0,Transaction Performance
41,Please add biometric authentication like fingerprint sign in.,4,2026-05-04,Dashen,Google Play (Simulated),positive,0.5859,Account Access & Security
42,"Amole app has a great interface, very clean and navigable navigation.",4,2026-04-13,Dashen,Google Play (Simulated),positive,0.796,UI & User Experience
43,"Great user interface, clean design, but login error pops up frequently.",2,2026-03-29,CBE,Google Play (Simulated),neutral,-0.0387,Account Access & Security
44,"Excellent app! Transfer speed is fantastic, love the security updates.",4,2026-02-05,CBE,Google Play (Simulated),positive,0.9348,Transaction Performance
45,Please add biometric authentication like fingerprint sign in.,3,2026-03-25,Dashen,Google Play (Simulated),positive,0.5859,Account Access & Security
46,Very slow transfer loading times today. App kept crashing during payments.,1,2026-04-05,CBE,Google Play (Simulated),neutral,0.0,Transaction Performance
47,"Awesome banking experience, fast navigation and secure transfers.",4,2026-04-30,Dashen,Google Play (Simulated),positive,0.7579,Transaction Performance
48,Failed transfers. System says network error but my balance was deducted.,2,2026-03-01,Dashen,Google Play (Simulated),negative,-0.4588,Transaction Performance
49,Very slow transfer loading times today. App kept crashing during payments.,1,2026-04-19,CBE,Google Play (Simulated),neutral,0.0,Transaction Performance
50,Smooth transfers and quick notifications. Highly recommended.,4,2026-05-09,BOA,Google Play (Simulated),positive,0.2716,Transaction Performance
51,"Amole app has a great interface, very clean and navigable navigation.",5,2026-01-03,Dashen,Google Play (Simulated),positive,0.796,UI & User Experience
52,Where is the fingerprint login? Typing my long password every time is annoying.,1,2026-02-18,CBE,Google Play (Simulated),negative,-0.4019,Account Access & Security
53,"Excellent app! Transfer speed is fantastic, love the security updates.",5,2026-02-10,CBE,Google Play (Simulated),positive,0.9348,Transaction Performance
54,Smooth transfers and quick notifications. Highly recommended.,4,2026-01-27,BOA,Google Play (Simulated),positive,0.2716,Transaction Performance
55,BOA Live is beautiful but it crashes constantly after the latest update.,2,2026-03-09,BOA,Google Play (Simulated),positive,0.3506,UI & User Experience
56,Smooth transfers and quick notifications. Highly recommended.,4,2026-04-20,BOA,Google Play (Simulated),positive,0.2716,Transaction Performance
57,"Amole app has a great interface, very clean and navigable navigation.",4,2026-04-25,Dashen,Google Play (Simulated),positive,0.796,UI & User Experience
58,"Great user interface, clean design, but login error pops up frequently.",3,2026-01-19,CBE,Google Play (Simulated),neutral,-0.0387,Account Access & Security
59,"Excellent app! Transfer speed is fantastic, love the security updates.",4,2026-03-27,CBE,Google Play (Simulated),positive,0.9348,Transaction Performance
60,"Amole app has a great interface, very clean and navigable navigation.",5,2026-01-02,Dashen,Google Play (Simulated),positive,0.796,UI & User Experience
61,"Excellent app! Transfer speed is fantastic, love the security updates.",5,2026-04-17,CBE,Google Play (Simulated),positive,0.9348,Transaction Performance
62,"Great user interface, clean design, but login error pops up frequently.",2,2026-02-14,CBE,Google Play (Simulated),neutral,-0.0387,Account Access & Security
63,"Amole app has a great interface, very clean and navigable navigation.",5,2026-04-25,Dashen,Google Play (Simulated),positive,0.796,UI & User Experience
64,BOA Live is beautiful but it crashes constantly after the latest update.,2,2026-01-29,BOA,Google Play (Simulated),positive,0.3506,UI & User Experience
65,Please add biometric authentication like fingerprint sign in.,3,2026-01-07,Dashen,Google Play (Simulated),positive,0.5859,Account Access & Security
66,"Great user interface, clean design, but login error pops up frequently.",2,2026-02-19,CBE,Google Play (Simulated),neutral,-0.0387,Account Access & Security
67,Failed transfers. System says network error but my balance was deducted.,1,2026-03-26,Dashen,Google Play (Simulated),negative,-0.4588,Transaction Performance
68,"Awesome banking experience, fast navigation and secure transfers.",5,2026-02-04,Dashen,Google Play (Simulated),positive,0.7579,Transaction Performance
69,"Awesome banking experience, fast navigation and secure transfers.",5,2026-01-16,Dashen,Google Play (Simulated),positive,0.7579,Transaction Performance
70,Where is the fingerprint login? Typing my long password every time is annoying.,2,2026-02-17,CBE,Google Play (Simulated),negative,-0.4019,Account Access & Security
71,"Awesome banking experience, fast navigation and secure transfers.",5,2026-03-02,Dashen,Google Play (Simulated),positive,0.7579,Transaction Performance
72,Very slow transfer loading times today. App kept crashing during payments.,2,2026-02-24,CBE,Google Play (Simulated),neutral,0.0,Transaction Performance
73,Where is the fingerprint login? Typing my long password every time is annoying.,2,2026-03-05,CBE,Google Play (Simulated),negative,-0.4019,Account Access & Security
74,"Amole app has a great interface, very clean and navigable navigation.",4,2026-02-11,Dashen,Google Play (Simulated),positive,0.796,UI & User Experience
75,Very slow transfer loading times today. App kept crashing during payments.,2,2026-01-24,CBE,Google Play (Simulated),neutral,0.0,Transaction Performance
76,Failed transfers. System says network error but my balance was deducted.,1,2026-05-11,Dashen,Google Play (Simulated),negative,-0.4588,Transaction Performance
77,"Excellent app! Transfer speed is fantastic, love the security updates.",5,2026-01-15,CBE,Google Play (Simulated),positive,0.9348,Transaction Performance
78,I did not receive the OTP token. Stuck on login screen for hours.,2,2026-03-02,BOA,Google Play (Simulated),negative,-0.25,Account Access & Security
79,"Amole app has a great interface, very clean and navigable navigation.",5,2026-01-08,Dashen,Google Play (Simulated),positive,0.796,UI & User Experience
80,"Excellent app! Transfer speed is fantastic, love the security updates.",4,2026-05-06,CBE,Google Play (Simulated),positive,0.9348,Transaction Performance
81,BOA Live is beautiful but it crashes constantly after the latest update.,1,2026-04-18,BOA,Google Play (Simulated),positive,0.3506,UI & User Experience
82,"Great user interface, clean design, but login error pops up frequently.",4,2026-01-13,CBE,Google Play (Simulated),neutral,-0.0387,Account Access & Security
83,"Amole app has a great interface, very clean and navigable navigation.",4,2026-03-15,Dashen,Google Play (Simulated),positive,0.796,UI & User Experience
84,"Excellent app! Transfer speed is fantastic, love the security updates.",5,2026-03-27,CBE,Google Play (Simulated),positive,0.9348,Transaction Performance
85,"Excellent app! Transfer speed is fantastic, love the security updates.",5,2026-03-25,CBE,Google Play (Simulated),positive,0.9348,Transaction Performance
86,BOA Live is beautiful but it crashes constantly after the latest update.,1,2026-03-26,BOA,Google Play (Simulated),positive,0.3506,UI & User Experience
87,I did not receive the OTP token. Stuck on login screen for hours.,1,2026-03-24,BOA,Google Play (Simulated),negative,-0.25,Account Access & Security
88,Smooth transfers and quick notifications. Highly recommended.,5,2026-03-10,BOA,Google Play (Simulated),positive,0.2716,Transaction Performance
89,"Very poor customer support, my transaction is pending and chat bot is useless.",1,2026-04-11,BOA,Google Play (Simulated),negative,-0.4989,Transaction Performance
90,Please add biometric authentication like fingerprint sign in.,3,2026-05-02,Dashen,Google Play (Simulated),positive,0.5859,Account Access & Security
91,"Amole app has a great interface, very clean and navigable navigation.",4,2026-01-06,Dashen,Google Play (Simulated),positive,0.796,UI & User Experience
92,"Amole app has a great interface, very clean and navigable navigation.",5,2026-01-15,Dashen,Google Play (Simulated),positive,0.796,UI & User Experience
93,"Great user interface, clean design, but login error pops up frequently.",3,2026-03-28,CBE,Google Play (Simulated),neutral,-0.0387,Account Access & Security
94,"Very poor customer support, my transaction is pending and chat bot is useless.",1,2026-01-15,BOA,Google Play (Simulated),negative,-0.4989,Transaction Performance
95,"Excellent app! Transfer speed is fantastic, love the security updates.",5,2026-01-31,CBE,Google Play (Simulated),positive,0.9348,Transaction Performance
96,I did not receive the OTP token. Stuck on login screen for hours.,1,2026-02-27,BOA,Google Play (Simulated),negative,-0.25,Account Access & Security
97,"Excellent app! Transfer speed is fantastic, love the security updates.",5,2026-03-26,CBE,Google Play (Simulated),positive,0.9348,Transaction Performance
98,Very slow transfer loading times today. App kept crashing during payments.,2,2026-01-31,CBE,Google Play (Simulated),neutral,0.0,Transaction Performance
99,"Awesome banking experience, fast navigation and secure transfers.",5,2026-01-10,Dashen,Google Play (Simulated),positive,0.7579,Transaction Performance
100,"Amole app has a great interface, very clean and navigable navigation.",3,2026-03-24,Dashen,Google Play (Simulated),positive,0.796,UI & User Experience
101,"Very poor customer support, my transaction is pending and chat bot is useless.",2,2026-01-27,BOA,Google Play (Simulated),negative,-0.4989,Transaction Performance
102,"Great user interface, clean design, but login error pops up frequently.",3,2026-02-12,CBE,Google Play (Simulated),neutral,-0.0387,Account Access & Security
103,"Awesome banking experience, fast navigation and secure transfers.",5,2026-04-16,Dashen,Google Play (Simulated),positive,0.7579,Transaction Performance
104,Failed transfers. System says network error but my balance was deducted.,1,2026-04-17,Dashen,Google Play (Simulated),negative,-0.4588,Transaction Performance
105,"Great user interface, clean design, but login error pops up frequently.",3,2026-05-10,CBE,Google Play (Simulated),neutral,-0.0387,Account Access & Security
106,BOA Live is beautiful but it crashes constantly after the latest update.,3,2026-02-25,BOA,Google Play (Simulated),positive,0.3506,UI & User Experience
107,Where is the fingerprint login? Typing my long password every time is annoying.,3,2026-04-20,CBE,Google Play (Simulated),negative,-0.4019,Account Access & Security
108,Failed transfers. System says network error but my balance was deducted.,2,2026-01-16,Dashen,Google Play (Simulated),negative,-0.4588,Transaction Performance
109,BOA Live is beautiful but it crashes constantly after the latest update.,2,2026-03-25,BOA,Google Play (Simulated),positive,0.3506,UI & User Experience
110,I did not receive the OTP token. Stuck on login screen for hours.,1,2026-02-04,BOA,Google Play (Simulated),negative,-0.25,Account Access & Security
111,"Great user interface, clean design, but login error pops up frequently.",4,2026-03-14,CBE,Google Play (Simulated),neutral,-0.0387,Account Access & Security
112,"Excellent app! Transfer speed is fantastic, love the security updates.",5,2026-05-01,CBE,Google Play (Simulated),positive,0.9348,Transaction Performance
113,Where is the fingerprint login? Typing my long password every time is annoying.,3,2026-03-24,CBE,Google Play (Simulated),negative,-0.4019,Account Access & Security
114,Failed transfers. System says network error but my balance was deducted.,2,2026-04-12,Dashen,Google Play (Simulated),negative,-0.4588,Transaction Performance
